Local Word,English Meaning
ababe,poison
ábe  ̣́,below
ábe  ̣́,bottom
àbéké,knife
abọrọkpọ,spinning wheel
abo  ̣́wo  ̣́,armpit
àdá,"hatchet, sword"
adan,bat
adé,crown
adele,house lizard
ade  ̣́n,fried
adidun,stingy
afán,gun
afo  ̣̀máyàsé,bluff
afọsẹ,invocation
àga,"chair, stool"
àgbàdà,dagger
àgbàn,"cheek, chin, jaw"
agbedé,"needle, syringe"
àgbo,herb
ágbùkè,hunchback
aghara,bawdy
aghéré,"hut, shed"
ághígho  ̣́n órí,skull
ághígho  ̣́n,shell
aghò,ceremony
aghọ,"hide, leather"
àghò/ úrún o  ̣́do  ̣́n,festival
agho  ̣̀he  ̣̀ tábà,sandal
agho  ̣̀he  ̣̀,shoe
ágho  ̣́n,tortoise
agiyán,anthill
agó,"hip, waist"
agogo,"bell, clock, gong"
ago  ̣́wo  ̣́,watch
àgùntàn,sheep
ahíke  ̣́,hiccup
àhìto  ̣̀,foundation
ahuanhan,scissors
áká,"shoulder, wing"
akakara,crab
ákán,hawk
akan,kidney
akata,hornet
akatakpo,iguana
akayan,thatch
àkèré,"frog, toad"
ákíko  ̣́,"cock, rooster"
akọ ẹfàn,bull
akọ élá,ox
akọ,"male, sheath"
ako  ̣̀halẹ,rake
akoko,heap
ako  ̣̀wé,"clerk, lecturer, teacher"
àkpákpa,"butterfly, spider"
àkpárà,thunder
akpata oyi,horriplate
àkpáta,"loft, shelf"
ákpatì,"chest, for storage"
akpẹ,spindle
akpe  ̣́de  ̣́,bow
akpẹran,butcher
akpẹrẹ gbọrọ,centipede
akpe  ̣̀re  ̣̀,fish basket
àkpe  ̣́re  ̣̀,horn pipe
ákpe  ̣̀re  ̣̀,scorpion
àkpò egho  ̣́,wallet
àkpò ẹrùn,luggage
akpò,"bag, pocket, sack, satchel, treasury, trail"
àkpo  ̣̀fo  ̣́n,adam's apple
àkpòjèté,jute
àkpo  ̣̀ma,"uterus, womb"
àkpómí,canal
ákpòtì,box
àkpo  ̣́wo  ̣́,elbow
àkpùdu,lung
àkpùko  ̣́wo  ̣́,knuckle
àkúpe  ̣́,fan
àkwàn,bridge
àlàgó,skirt
ale  ̣̀ orie,plain
ale  ̣́,"base, earth, field, floor, ground, land, plot"
ále  ̣́,night
ále  ̣́rungbe  ̣̀,orchard
àlùbásà,onion
alùkpùkpù,motorcycle
ama,list
ama,sign
amaran,"pillar, post"
amùmà,lighting
ámúnámúná,firefly
àná,yesterday
áná,in law
ànọkùnrẹn,brother-in-law
ányarìn,"albinism, albino"
apapá,groundnut
ara gbígbóná,fever
ara,"body, self"
arakpo,mumps
ararẹ̀,yourself
araríro  ̣̀,fatigue
araro  ̣̀,tired
arawa,ourselves
are órí,ringworm
áré,dash
áre  ̣̀n,"go, leave"
arẹran,flesh
árígbó,old age
ariwo,"noise, sound"
árọ́,story
arogungun,skeleton
arọmákò,disabled
arosho,pure
arubọ,turtle
arulé,wall
aseni,sure
asẹsẹ,weaver bird
àshásọ,"napkin, rag"
áshíwín,lunatic
ashomi,limestone
asọ ábe  ̣́,"undergarment, underwear"
asọ ẹrẹfùnà,curtain
asọ oyin,bee wax
àtálo  ̣̀he  ̣̀,sole of foot
àtálo  ̣́wó,palm of hand
àte  ̣̀te  ̣̀,wicker
àtì,rheum
atiro  ̣́,funnel
àto  ̣̀,semen
atukpọkpọ,woodpecker
awa,"us, we"
àwan ẹnẹ,those
àwan,they
àwáríara,farewell
awò,"cauldron, pan"
awó,slap
áwó/ enífá,shaman
awòyìnbó,doctor
àwúlà éwé,paper
àwúlà ífúrú,petal
àwúlà ijin,wooden plank
àwúlà,piece
awùntántán,mint leaf
aya títo  ̣́n,bride
aya,wife
ayàgbe,unmoveable
áyakà,countless
ayaka,uncountable
áyé,"life, world"
ayere,gap
áyérí,old days
àyo  ̣̀,joy
ayo  ̣́lo  ̣́zà,queen
ázá,dog
àze  ̣́n,witch
ba ba mì lílá,great grandfather
bá bá,grandfather
ba,"father, plait"
ba,weave
bábà,"as usual, etc"
bàbà,grope
báfo  ̣̀,"address, rebuke"
bágwí,"reproach, scold"
bálárá,"agitate, irritate"
bárawọ ùkpò,copulate
batiri,fate
bɑ̣̀ze  ̣́,"botch, destroy, pollute, spoil"
be  ̣̀,"beg, plead"
be  ̣́,"chop, hew"
béghózẹ́,misappropriate
bẹ̀  gwà,"horrible, nasty"
bí,as
bí,like
bí,"ask, born"
bì,vomit
bíbe  ̣̀,appeal
bibío  ̣́màhán,afterbirth
bíbù eré,joke
bibu,fade
bíbú,insult
bídà,as if
bò,"conceal, cover"
bó,"peel, scrape"
bo  ̣́,"escape, rear, tame"
bórúkọze  ̣́,defame
bótífo  ̣̀,according to
bótíkálále  ̣̀wa,conservative
bótírí,usual
bótísé,accustomed
bóyá,possible
bóyá,perhaps
bù,"cut, twinkle"
búkú,"bad, negative, terrible"
bùmá,exaggerate
bùwálẹ̀,"decrease, lessen. cháchá"
cháchá,gamble
chín,salute
chinch,bedbug
dà,pour
dàdà,bundle
dadan,compel
dágho  ̣́,"angry, vex"
dàkòró,disappear
dánghò,"test, try"
dàno  ̣̀,spill
dè,guard
dé,shut
dé/ dín,close
dẹdẹruru,beetle
de  ̣́gbòre  ̣́,restrict
dékpa,seal
dẹ́  n,fry
de  ̣̀n,recede
de  ̣̀nwá,return
dẹ́  zẹ̀,bleed
dídà,vanish
dídàgho  ̣́nẹ,hate
dídè,guide
didẹzẹ,coagulate
dídó,set
dídóníòkèlílá,alpine
didunwa,salvation
dìn,"bind, knot, tight, wrap"
dín,"block, knot"
dínẹtín,deaf
dìnmá,tether
díró,"stand, wait"
díróhí/ fígbè,obstruct
dó,"live, marry"
dómílé,drench
dóníno  ̣́,occupy
dózú,note
dùdú,lie
dúdún,black
dùdúnálẹ̀,prostrate
dùn ara,self-defence
dùn sódùá,rescue
dùn,"cure, save"
dúnzìn,gasp
dúró,stop
dúwà,pass
ebi ómí/ o  ̣̀fọn gbígbẹ,thirst
ébí,hunger
ébíkpa,hungry
èbù,wasp
ebuburẹn,rust
edò,stake
èdúndún,charcoal
efifie,waist thread
éfífó,empty
égbe  ̣́dẹ́,half dried
éghán,cheap
èghìgho  ̣̀ ómí,vapour
èghìgho  ̣̀,smoke
ègwà,beautiful
ehí,without
ehihi,wart
ehòjin,fruit
éìwó,light
éjíkpá,"amulet, talisman"
ékíkán o  ̣́wo  ̣́,fingernail
ekó,camp
ekpo,oil
ekpokpo  ̣̀ràn,coconut's oil
ekpùkpà,"bark, rind, skin"
ekpùkpẹrún,lip
ekpukpu,fence
eku,"mole rat, mouse"
ékúdé,half boil
èkúkù,bullet
èmí,power
èmi,me
èmùre  ̣́n,lizard
éne  ̣́bá,fatherless
éne  ̣́rù,fearless
eníno  ̣́,kind
eníno  ̣́,mercy
énórí,meaningless
énulé,homeless
éré,poem
ere,python
érébíbù,poetry
eregugu,rainbow
erìghán ọkùnrẹn,brother
erile  ̣̀,country people
erin,elephant
érínhíhe  ̣̀n,antiphon
èrínkéké,cackle
erìre  ̣̀,gain
eriri ọyẹ,mist
èrìrì,dew
eró,"corruption, trick"
erùkpàfọn,clod of earth
erùkpe  ̣̀,sand
erúrú,ash
éshin,pig
etin ómí,riverbank
etin uri,hood of serpent
étín,"ear, earlobe, fringe"
ewe,"book, notebook"
éwéjin,leaf
éwétárán,letter
éyà,wrong
èyẹ́  nẹ,who
èyí,this
èyíèyí,alternate
éyín zízà,tooth ache
éyín,tooth
ézìnle  ̣́gwá,twelve
ézìnzìn,stable
e bíbì,vomit
e  ̣́bo  ̣́,deity
ẹbọ,idol
e  ̣́bú,bunch
ẹbu,herd
ẹbubẹ,dust
e  ̣́búbù,half
e  ̣̀búbù,part
ẹde  ̣̀,tuber
ẹdò akpáta,shrub
e  ̣̀do  ̣̀,"chest, body part"
e  ̣̀dógbè,neighbour
e  ̣̀dógún,fifteen
e  ̣̀dòkè lílá,mountain
e  ̣̀dòkè,hill
e  ̣̀do  ̣̀n,axe
ẹ́  do  ̣́n,monkey
e  ̣̀do  ̣̀wíwó,sorrow
e  ̣̀do  ̣̀yíyàn,glad
e  ̣̀do  ̣̀yíyàn,excite
ẹ́  dúwe  ̣́,"chicken, fowl"
ẹfàn,buffalo
ẹ́  fífó,sweat
ẹfun,chalk
e  ̣̀fúrù lílá,wind
e  ̣̀fúrù,air
e  ̣̀gàn,fish trap of conical shape
ẹgbe  ̣́ méèzìn,centre
ẹgbe  ̣́ méèzìn,between
e  ̣́gbe  ̣́,unfortunate
e  ̣̀gbìgbàn,deer
e  ̣́gbígbe  ̣́n,"flea, tick"
e  ̣̀gbùre  ̣́,joint
ẹ́  ghẹ́  n ẹ́  dúwe  ̣́,chicken egg
e  ̣́ghe  ̣́n étín,ear drum
e  ̣́ghe  ̣́n úná,embers
e  ̣́ghe  ̣́n,egg
e  ̣́ghíghó,boil. ẹ́ ghó àyáká 4
ẹ́  ghó àyáká,cowrie
e  ̣́ghó,"cash, money, salary"
ẹ́  gho  ̣́,spot
ẹghonzú,eye ball
ẹ́  ghórí,"bride price, tax"
e  ̣̀gígán,basket
ẹ́  gún,thorn
e  ̣̀gúsí,melon
e  ̣̀hánlégwá,nineteen
ẹ́  ká,branch
ẹkẹrilẹ,dwarf
e  ̣̀kíkan,"ant, claw, nail"
e  ̣̀ko  ̣̀ko  ̣̀,"condition, frame"
ẹko  ̣̀ko  ̣̀,corner
e  ̣̀kòkògèdè,nook and cranny
ẹkpàn,scrotum
e  ̣̀kpòkó,bucket
e  ̣́kù,door
e  ̣́kún,tear
ẹla,cattle
e  ̣̀lá,dream
ẹlikan,wrinkle
ẹlù,nest
e  ̣́mo  ̣́ ìkpà/ kpíkpa,intoxicate
ẹmọ,"beer, liquor, wine"
ẹmo  ̣̀kpe  ̣̀,palm wine
ẹmure  ̣́n,garden lizard
ẹnàdídùn,miser
ẹnagho  ̣́,enemy
ẹnálèkpàn,eunuch
ẹnáwó,sorcerer
ẹnáyàn sódùà,candidate
ẹnẹ táfo  ̣̀,whom
e  ̣́ne  ̣̀,not
ẹnẹ,somebody
ẹne  ̣̀,that
ẹnẹbíríbìrì,vagrant
ẹne  ̣́mo  ̣́,drunkard
ẹne  ̣́ránúse  ̣́,messenger
ẹnẹte  ̣́dó,lover
ẹnẹwíwe  ̣́n,lender
ẹni,fragile
e  ̣́ní,mat
ẹníbá,weaver
ẹníbàbe  ̣̀,beggar
ẹníbárun,crook
ẹníbífòkè,astrologer
ẹníbùéré,poet
ẹníbùiré,joker
ẹníde,watchman
ẹnífe  ̣́unze  ̣́,cook
ẹnífo  ̣̀,speaker
ẹnígbà,collector
ẹníghẹ́  zọ́,judge
ẹníghózú,caretaker
ẹnígún,goldsmith
ẹnígwo  ̣́jin,carpenter
ẹníhè,distiller
ẹníhùn,sleeper
ẹníkílòlò,stammerer
ẹníkọrin,singer
ẹníkpe  ̣́zá,fisherman
ẹnílo  ̣̀,grinder
ẹnímoko,farmer
ẹnímózúhí,guardian
ẹníninọ,sentimental
ẹníno  ̣́zà,trader
ẹnírẹ,frolicsome
ẹníre  ̣́tín,listener
ẹníríghózú,foreteller
ẹníró,deceitful
ẹníró,trickster
ẹnísagho  ̣̀he  ̣̀,cobbler
ẹnísasọ,tailor
ẹníse,performer
ẹnísíré,player
ẹnísọ́  ghò,"inspector, investigator, examiner"
ẹnísózúmézìn,hypocrite
ẹnítà,retailer
ẹnítọzà,shop keeper
ẹníwẹnghó,creditor
ẹníwo  ̣́nwo  ̣́,benefactor
ẹníyàkpò,pick pocket
ẹníyànko  ̣̀,driver
ẹníyirọn,barber
ẹníze  ̣́,eater
ẹnódó,dweller
ẹnogbàze  ̣̀,faithful
ẹnógbózún,adult
ẹnogun,warrior
ẹnóhíyane  ̣́,tenant
ẹnòhúe  ̣́,hunter
ẹnokẹzin/ ẹnara,companion
ẹnoko/ẹnígbérun,"cultivator, gardener"
ẹnókpane  ̣́,murderer
ẹnọlẹ,timid
ẹnómáméwé,illiterate
ẹnóme  ̣́zo  ̣́wá,petitioner
ẹnómúwá,establisher
ẹnóne  ̣́,owner
ẹnónule  ̣́,"host, landlord"
ẹnórí òtú,group leader
ẹnórí,"boss, lord"
ẹnorírírè,anybody
ẹnówún,donor
ẹnọzà,customer
ẹno  ̣́ze  ̣́,artist
ẹnùhùo  ̣̀,liar
ẹnùkò,representative
ẹnùre  ̣̀n,traveller
ẹnúse  ̣́,"employee, labourer, worker"
ẹnúzó,musician
ẹran,animal
ẹrẹfùnà lílá,gate
ẹrẹmi,dislike
e  ̣̀rín orun,midnight
e  ̣́rìn,laugh
ẹru,caste
e  ̣̀rù,fear
ẹrun,"language, mouth"
ẹrunlé,goat
e  ̣̀rúrú ọma,placenta
ẹse  ̣́,fist
ẹshin ugbó,boar
ẹsi,horse
ẹsikpẹn,"cane, whip"
ẹsinsin agbudẹ,gadfly
ẹsinsin,fly
e  ̣̀sísá,broom
ẹta,leopard
e  ̣̀talégwá,thirteen
ẹtú,"cap, hat"
e  ̣́wà,bean
ẹwẹ ọka,husk
ẹwẹ̀  n híhán,payment
ẹwe  ̣̀n,"credit, debt, fee, wage"
ẹwóró,passage
e  ̣̀wù,shirt
ẹwuwu,crocodile
ẹyẹ,bird
ẹye  ̣́,feather
ẹyin ẹrin,tusk
e  ̣̀yìn ọfọ,hoax
e  ̣̀yìn o  ̣́he  ̣̀,heel
e  ̣̀yìn ọro  ̣̀n,nape of the neck
e  ̣̀yìn ulẹ́,backyard
e  ̣̀yìn,back
e  ̣́zá,fish
e  ̣̀ze  ̣̀,blood
e  ̣́ze  ̣̀ta,day before yesterday
ẹzò,snake
e  ̣́zo  ̣́,dispute
ẹzọ,eight
e  ̣́zo  ̣́mú,guilty
ẹzori ẹza,gills
fà,"crawl, pull, tuck"
fá,flay
fáwá,allure
fe  ̣́,application
fe  ̣̀,belch
fe  ̣́,"find, need, want"
fe  ̣́fífó,fan
fe  ̣́fúrù,blow
fe  ̣́n,clean
fe  ̣́ne  ̣̀do  ̣̀,desire
fe  ̣́unze  ̣́,cook
fífà,drag
fífe  ̣́gwá,design
fífe  ̣́zo  ̣́,kindle
fífo  ̣́n,abuse
fífù,germinate
fífùe  ̣̀,inflate
figbe,barricade
figbuọ,wretch
fíháká,whirl
fò,fly
fo  ̣̀,"pronounce, say, speak, wash"
foaya,worry
fọfo  ̣̀,foment
fo  ̣̀he  ̣̀,limp
fo  ̣́n ẹrun,swear
fo  ̣́n,squeeze
fo  ̣̀sé,promise
fo  ̣̀wá,"propose, utter"
fo  ̣́zú,blind
fù,sprout
fùè,swell
fúfún,white
fún ara,pale
fún,untie
gèdè,all
gó,high
gùmátále  ̣̀,bow
gùmátúale  ̣̀,crouch
gùn,climb
gún,"poke, pound, prick, stab"
gbá,"long, tall"
gbá,sweep
gbàá,fat
gbàbáà,assurance
gbàgbé,forget
gbamú,seize
gbámúne  ̣́,"cling, grasp"
gbán,flow
gbárakpàkè,proud
gbáralé,against
gbàwá,"collect, receive"
gbàze  ̣̀,agree
gbázéhú,allow
gbàze  ̣́wún,concession
gbé ẹrùn,load
gbẹ,"dried, dry"
gbé,"carry, lift"
gbe  ̣̀,sow
gbè/ gwà,cultivate
gbe  ̣̀do  ̣́lé,"dependent, hope, support"
gbéhọnme  ̣̀,forgiveness
gbékpàkè,raise
gbe  ̣́n e  ̣́fífó,perspire
gbe  ̣̀ne  ̣̀,scribble
gbe  ̣́run,"fast, hunger strike"
gbe  ̣̀yìn,last
gbígbà,size
gbígbàze  ̣̀,"faith, religion"
gbígbàze  ̣̀,approve
gbígbé,bear
gbígbe  ̣̀,plant
gbígbe  ̣̀do  ̣̀lé,expectation
gbigbeghọ,barter
gbígbin,blunt
gbígbin,groan
gbígbò,"polish, wipe"
gbígbo  ̣́nmí,current of water
gbigbọshọ,roar
gbin,"grunt, pant"
gbó,old
gbó,bark
gbò,rub
gbo  ̣́,hear
gbo  ̣́fo  ̣̀lé,"accuse, slander"
gbóná,"hot, warm"
gbóná,heat
gbózún,grow
gbúse  ̣́,forced labour
ghá,tremble
ghán,"expensive, good"
ghàn,show
gháyé,alive
ghigha,decision
ghighan,sample
ghíghọn orun,snore
ghinghọnmi,imitate
ghíwè,presence
ghò,"look, see, stare"
gho  ̣́,bend
gho  ̣́há,understand
gho  ̣́n,mow
ghórí ale  ̣̀,"contemptuous, disregard"
ghówá,acknowledge
ghọwẹ meezin,balance
ghózú,"care, nurse"
gwa,row
gwákpò,"blend, churn, mix, stir"
gwálè,till
gwàlọ,search
gwáwẹ́  òkéèzìn,cross
gwé,drizzle
gwe  ̣̀,bath
gwe  ̣́le  ̣́,follow
gwélérunáfo  ̣̀,obey
gwèsè,start
gwe  ̣́zo  ̣́,trial
gwe  ̣́zo  ̣́,quarrel
gwigun,thrust
gwigwire,incantation
gwigwọ,grapple
gwigwodo,wanton
gwígwo  ̣́rúnze  ̣́,digest
gwìrehún,bless
gwóhán,broken
gwo  ̣̀ro  ̣̀,descend
gwúó,shatter
há,run
hàhà,sprinkle
háká,surround
hákòró,"abscond, elope, flee"
hán,"pay, tie"
hàndó,"lean, slope, tilt"
házùn,better
he  ̣́,lock
hè,distil
he  ̣̀n,worship
hi,so
híhe,boil
híhe  ̣́,deny
híhèn,adore
híhe  ̣́ngwózú,appeal
híhe  ̣́nkún,weep
hího  ̣́,hit
hihofi,rape
hihọnwún,information
hín,distant
hínhenkpò,accident
ho  ̣́ ẹse  ̣́,blow
họ ẹsé,wallop
ho  ̣́ éwé,vote
hó,fart
họ́,"boast, peck"
hò,"hail, praise"
họ,"jab, throw"
ho  ̣́hále  ̣̀,dump
ho  ̣́hòkè,suspend
ho  ̣́kpàkè,"flatter, tease"
ho  ̣́n e  ̣́kún,bemoan
hón,cry
ho  ̣́n,roast
ho  ̣́nkúne  ̣̀do  ̣̀,regret
họwún,"inform, instruct"
hùe  ̣̀re  ̣̀hùe  ̣̀re  ̣̀,soft
hún e  ̣́fun,anoint
huọmáne,frame
ibà,malaria
ìbàlẹ̀,valley
íbàlo  ̣̀,spicy
ibí,gun powder
ibìbà,gnat
ibibọ,some
ìbo ara,blanket
íbúse,misconduct
íchè,bellow
ídàhí,
idamidan,whimp
ìdánghò,examination
ídéghòba,otherwise
idehú,kite
ífà,stringy
ifamisan,chicken pox
ifan,scabbies
ífe  ̣́nfe  ̣́n,mosquito
ifóró,light
ìfun ẹran,offal
ìfun,intestine
ifúrú,flower
igan,chain
igbàje  ̣́,battery
ígbáze  ̣́,agreement
igbó,marijuana
igbo  ̣̀ngháre  ̣́ngháre  ̣́n,brass
igbóro  ̣́n,shin
igha,decide
ighara,umbrella
ighè,rib
ighẹzu,illusion
íghóghèsísá,broom stick
ighọnghọn,grumble
íghóre  ̣̀do  ̣̀,heart
ighorẹgho,coin
íghórẹkpàn,testicles
íghóró,"grain particles, kernel, nut, seed"
ighorukpẹtẹ,"candy, sugar"
ighú,white hair
íhánmézín,fortnight
ihe  ̣́n,now
ihú,law
ijin ẹdọn,"hammer, mallet"
íjín égún,cactus
ijin e  ̣̀kù,door frame
ijin o  ̣̀kpe  ̣̀,palm tree
ijin ọrọn,collar bone
ijin orúrú,cotton plant
ijin úná,firewood
ijin,"stick, tree, wood"
ijinfùrù,stalk
ike  ̣̀ke  ̣́,arrow
íkó,meeting
íkokò,collection
ikòló,earthworm
ikpe  ̣̀te  ̣̀,mud
ikpe  ̣̀tómí,silt
ìkpò,hook
ikù,"bran, chaff, husk"
ikùrun,petty
ilá,tattoo
ilà,crack
ile  ̣̀,human
ilẹ̀,"country, people"
ímábá,"kinsmen, kith and kin"
ìme  ̣̀mózú,eye lashes
ìmerìghán,siblings
imí,"soul, strength"
ímo  ̣́,"nose, snout"
íná,lice
íníno  ̣́,inner
íno  ̣́ gwígwo  ̣́,diarrhoea
íno  ̣́,inside
íno  ̣́,"abdomen, belly, stomach"
íno  ̣́kpọ,waist chain
íno  ̣́ríró,sad
ípìtì,fumble
írále  ̣́,dusk
írálé,co wife
ire,"game, play"
iré,prayer
irégúgún,"fairy, ghost. ire runo kan 11"
irẹrunọkan,tribe
irìn,vein
irọn ábúbú,curly hair
íro   ̣́n dàda,knotty hair
irọn,hair
irọnara,wearisome
iròrò,"imagination, thought"
írú,kind
irùnmù,"grass, weed"
ísáfe  ̣̀n,key
isanmisan,"child, illegitimate"
isé,nail
ìsẹ̀  sẹ,mushroom
ishara,ear of corn
ísòghò,gargle
ísùyà,miserable
ìtá mèrẹn,cross roads
ita,pepper
ìtákpè,root
ìtákpijin,log
ìtále  ̣̀,carpet
ìtalọfo  ̣̀,conflict
itàlọfò,unrest
íto  ̣́,"saliva, spit"
ìto  ̣̀,urine
iwagban akikọ,wattle
iwagbàn,beard
iwe,here
iwe  ̣̀,"hither, there"
iwẹn óbí ọma,parent
iwẹn ómàbí ọma,childless couple
ìwe  ̣̀n yí,these
ìwènèwéné,glitter
iwẹnóbíwá,ancestors
íwín,"excrement, shit"
iworiwo ẹzò,slough
ìwòwò e  ̣́zá,fish scale
iwù,whisker
ìyàdó,dwelling site
iyàn zizẹ,argument
iyàn,argue
íyárá,eager
iyáre  ̣̀nmá,restriction
iyẹbu ihùnhí,dormitory
iyéghótíwá,revenue
ìye  ̣́kéwéhí,library
ìye  ̣́kó e  ̣́láhí,cowshed
íyènhọ,pulp
iyerukpẹ,mound
iye  ̣́tísíré,playground
ìye  ̣́tìto  ̣̀,urinal
izẹzẹme  ̣́,"bud, shoot"
ízo  ̣́,day
izokotokpo,shrimp
jíjẹ,quick
jíjè,compare
kà,mark
kà,"count, read, write"
ká,"move, pluck"
kàára,engrave
kàhále  ̣̀,record
kákò,"fold, shrivel"
kálále  ̣̀wa,indigenous
kálẹ́,from
kálíhe  ̣́nkòró,henceforth
kàn,sour
kànán,"nevertheless, yet"
kànán,"but, except"
kára,ready
kára,prepare
kátòrè,which
ke  ̣̀,rot
ké,scream
kéké,"less, little, small, young"
kékékéké,slow
