Local Word,English Meaning
kéré,minor
ke  ̣̀rẹn,fourth
kíkókpò,addition
kílòlò,stammer
kíyore,where
ko  ̣́ aya,divorce
kó,how
ko  ̣́,"build, hang, learn, practice, teach, train"
kọ,crow
ko  ̣̀,"decline, refuse, reject"
ko  ̣́hále  ̣̀,note
kóhùnrè,what
kókó,impotent
kòkò,together
kòkò,flock
kòkò,"arrange, culminate, gather"
kókòró,clear out
kókpò,"add, assemble, unite"
kómí,drown
ko  ̣́n,full
kóríkpò,"discuss, plan"
kọrin,sing
kórodo,round
korókpàké,rise
kọrun,drowsy
kótú,manage
kóyàn,why
ku,"die, dead"
kúìwù,bore
kúkòre,when
kpa,"kill, slaughter"
kpaigbàjé,batter
kpán,ripe
kpanẹ̀,murder
kpángolo,tin
kparane  ̣́,suicide
kpátákpátá,at all
kpè,"beckon, call"
kpe  ̣́kpe  ̣́yẹ,duck
kpelekpele lílá,tadpole
kpèlèkpelè,mosquito larvae
kpe  ̣́n háká,distribution
kpe  ̣́n,"create, divide, share"
kpèwá,summon
kpíkpán ekpo,yellow
kpíkpè,invitation
kpíkpe  ̣́n háká,distribute
kpíkpò,dirty
kpila,bet
kpítìrì,numb
kpò,stain
kpò,soil
kpòkú,homicide
kpòròkp̣̀orò,"ant, big red"
kpúdẹ́  n,stout
kpúkpán,red
kpúrú,short
kwapó,extremely
kwo  ̣̀ro  ̣̀,"collapse, faint"
là,castrate
lá,lick
láíláí,never
lála,"bulky, huge"
lára,operation
lé,transplant
lẹkẹlẹkẹ,crane
lékòró,expel
le  ̣̀má,attack
lílá,big
lílálá,weight
líle  ̣̀do  ̣̀,pulse
lílo  ̣̀,powder
lo  ̣́,crooked
lo  ̣̀,"grind, iron"
lo  ̣́háká,wriggle
lọkọma,"coil, entangle, entwine"
lo  ̣́wọ́,"clap, knock"
lo  ̣́zú,squint
lù,"beat, ring"
má ìfúrú,bloom
mà,"know, recognise"
mádìase,prohibit
mádìse,prevent
mágbàzẹ̀,objection
mágbàze  ̣́n wún,"disagree, disapprove"
mághòzú,careless
máìsé,"abate, abolish"
mákò,incomplete
mako,deficiency
mákù,immortal
mámà,ignorant
mámo  ̣̀fo  ̣̀,disobedient
mámózúhí,negligence
mánáno  ̣́,shameless
manawa,shortage
mánàyè,inconvenience
máne  ̣̀ súrù,impatient
máne  ̣̀ wíwo  ̣́nwo  ̣́,helpless
mànẹ́,want
mánìmí,lazy
mánómí ehò,juiceless
mánúse  ̣́,idle
márìròrò,impudent
máshinmi,restless
mátètèwá,late
mayarẹn,lame
me  ̣̀do  ̣̀,encourage
méèzín,both
me  ̣́fà,six
me  ̣́gwá,ten
me  ̣́gwáléo  ̣́gbọ́,thirty
me  ̣̀gwáléòrẹn,ninety
me  ̣́gwáléọta,seventy
me  ̣́gwàléozìn,fifty
me  ̣̀hán,nine
me   ̣́rẹn,four
me  ̣́rẹnlémègwá,fourteen
me  ̣́rú,five
me  ̣́ta,three
me  ̣́ze,seven
mézìn,two
me  ̣́zóléme  ̣̀gwá,eighteen
mímà,proof
mímí,breath
mímókò,cultivation
mímózúhí,treatment
mọ,drink
mógbò,smear
mọ́  wo  ̣́bàbà,pat
mo  ̣́wo  ̣́bàbàara,caress
mo  ̣́wo  ̣́hì,confirm
mózúhí,"engross, foster"
mózúhúsẹ́,oversee
mú,sharp
mú,"catch, take, withdraw"
mù,sink
múhí,put
múhínọ́,immerse
múhíwe  ̣̀,keep
múhìyo  ̣̀kàn,confine
múhómí ówún,pickle
mújè,compare with
múkàn,touch
múkòró,"remove, subtract"
múkpàkè,prop
múlálá,blaze
múmá,also
múmá,furthermore
múmá,"attach, fix, join"
múmára,affectionate
mune  ̣́,arrest
múne  ̣́,"hold, grasp, sustain"
múní nbe  ̣́,bail
múno  ̣́dẹ,"entrap, snare"
múno  ̣́fo  ̣̀,insist
múnúse  ̣́,employ
múse,use
múwá,"bring, establish, fetch"
ná,"bargain, spend"
náno  ̣̀,stretch
nára,oneself
náwẹ́,toward
nchíchá,cockroach
ǹdùkwú,potato
nduri,dove
ne  ̣́,own
nẹ́,have
ne  ̣̀do  ̣̀,brave
néníno  ̣́,lenient
ne  ̣́rí,before
ne  ̣̀rùmá,"frighten, startle"
ne  ̣́wá,benefit
ne  ̣́yìn,behind
ni,"difficult, firm, hard, solid"
ní,wear
nìmí,powerful
nina,expenditure
níne  ̣́,get
nkonkara,joint
nkonke  ̣́yín,shoulder blade
no  ̣̀,lost
nòde,outside
no  ̣́gbán,wise
no  ̣̀gho  ̣̀wún ara,self-respect
no  ̣̀kàn,only
no  ̣́là,rich
no  ̣́wún,thither
núgbò,hollow
nùkàn,lonely
nùkò,while
núrún gede,ó ne ne kòkò
ó ne  ̣̀ne  ̣̀ kòkò,intact
óbe  ̣́,gaping
obì,kolanut
obìnrẹn á fe  ̣́dó,betrothed bride
obìnrẹn ó màmọkùnrẹn,virgin
obìnrẹn ulé,madam
obìnrẹn,"female, woman"
óbòkwe  ̣́yì,almost
obubu,caterpillar
òbúkọ,billy goat
odẹghòdò,courtyard
ododo ákíkó,cock's comb
ogbè,"district, village"
óghó,horn
oghoghozu,cataract
ógho  ̣́lé,bent
ògìgè,fort
ògùn telurọn,vaccine
ògún,blacksmith
ógúngún àkpo  ̣́wo  ̣́,elbow bone
ógúngún e  ̣́yìn,backbone
ògùngùn ómí,syrup
ógúngún ọro  ̣̀n,neck bone
ògùngùn,"black art, charm, medicine"
ógúngún,bone
ogwe,stem
òhe  ̣̀n,priest
óhẹngwà,attractive
òhìn,left
óhúnhún,winged ant
óhúnnukàn,alone
òkè dúnbò,cloudy
okè ózú,eye lid
òkè,"atmosphere, cloud, sky, top"
òkè,above
òkẹ́  fà,sixth
òke  ̣́gwá,tenth
òke  ̣́hán,ninth
òkèòkè,superficial
òke  ̣̀run,palate
òkẹ́  ta,third
òkéze,seventh
òke  ̣́zìn,"partner, second"
òke  ̣́zìnlégwá,twelfth
òkìrìòkiri,around
òkò,"brick, bundle, packet, pebble"
ókó,penis
okoetunle,garden
ókpò,grimy
òkpò,worm
òkpòíno  ̣́,intestinal parasite
òkpókò,bachelor
okpuufu,suffocate
okú,corpse
òkùlé,roof
okunkun ọhan,eclipse
òkùnkùn,darkness
òkúshíshi,funeral
òkúta jákánjákán,gravel
òkúta,"rock, stone"
okutefilọrun,"grinding stone, whetstone"
ólàmèrúnà,amaze
olè,thief
oléghó,
olékùkù,pigeon
ologbo,cat
olú,
olùkù,friend
oluzuwanmuzuwan,glutton
ómí ehò,juice
ómí ọnyà,breast milk
ómí oyin,honey
ómí,"pond, river, stream, water"
ómífúrú,nectar
ómúná,kerosene
òmúre  ̣́n,"another, other"
òmúre  ̣̀n,again
òní,today
óníní,complicate
ore,female
orẹfàn,cow
órí ọfo  ̣̀,meaning
órí,"dandruff, head"
óríbuku,jinx
òrìè ẹsi,mare
orìè,grave
orin,tooth twig
òróghò,flood
oroka,ring
órókún,knee
oromẹ gwere,lime
òróró,groundnut oil
orú,hundred
oru,emaciate
órughù,impure
órúkọ,name
orúméze,seven hundred
orumùye  ̣́n,"outsider, stranger"
orun kéké,doze
òrùn,sun
órún,sleep
orúrú,"cotton, wick"
óse  ̣́ mímí,fresh
óse,happen
osẹhan,"then, thus"
òsóbùá,God
ósòkùnkùn,grey
osù,moon
òsúgwá,first
osugwa,beginning
osumẹsu,dragonfly
ota,was
òto  ̣́n,right
òtú,group
òtùtú,"bug, insect"
ótútùn,cold
ótútùn,shade
òwò,bright
òwú,thread
owúkpá,lamp wick
owùn kéké,whisper
ówún,salt
owun,with
ówún,it
owunnùkàn,solitary
òwúo  ̣̀ fìrìfìrì,dawn
òwúo  ̣̀,morning
óyà,correct
oye  ̣̀,"chief, minister"
oyin,bee
óyó,fed up
óyún,pregnancy
óze  ̣́bo  ̣́,"altar, platform"
ózin,forty
òzìnzìn,shadow
òzò lílá,storm
òzò,rain
ózú e  ̣́zá,fish species
ózú,"eye, face"
ózúbúná,"hearth, oven"
ózúghà,interest
ozúlé,family
ozùmá,daylight
ózúmozúmá,daily
ózúyí,giddy
ózúzo  ̣̀he  ̣̀,sore foot
ózúzú,wound
ọbẹ̀,"broth, soup"
o  ̣́bé,gravy
ọda,resin
ọdafe  ̣́,master
ọdẹ,trap
o  ̣̀dómí,puddle
o  ̣́do  ̣́n,"age, year"
ọfafa,jackal
ọfo  ̣̀ tomagbọ,gossip
ọfo  ̣̀ tóni,order
ọfo  ̣̀,"fault, trouble, word"
o  ̣̀fo  ̣́n,"larynx, throat"
ọfo  ̣̀tà,"honest, true"
o  ̣̀fúfo  ̣̀sẹ,soap suds
o  ̣̀fùfù,froth
ọgá,mask
ọgbà,"barn, cage"
o  ̣́gbán,wisdom
o  ̣́gbo  ̣́,twenty
o  ̣́gbo  ̣́do  ̣́,mace
ọgbòdògbo  ̣̀,"lap, thigh"
o  ̣̀ge  ̣̀de  ̣̀ gwẹrẹ,banana
ọ̀  gho  ̣̀,"glory, respect"
ọghọri,maggot
o  ̣́gwá,place
o  ̣́gwódé,"compound, veranda"
ọhàn bíbó,orange
ọhán,"afternoon, midday"
o  ̣̀hè,"foot, leg, wheel"
ọhẹn,devotee
ọhe  ̣̀ran,hoof
ọjà,flute
ọkà,"corn, maize"
ọkàlè,car
o  ̣̀kan,one
ọkànkàn,each
o  ̣̀kànlégwá,eleven
ọko  ̣̀ ómí,boat
ọkọ titọn,groom
ọkọ,husband. o kpan ekpome 28
ọkpan ekpome,offering plate
o  ̣́kpán,"dish, plate"
o  ̣̀kpe  ̣̀,palm
ọkpukpẹzẹ,clot
ọkùnrẹn,man
o  ̣́kwá,"office, title"
o  ̣̀kwà,"bitch, prostitute"
o  ̣̀la,tomorrow
o  ̣́lá,wealth
ọlo  ̣́kpà,police
ọlo  ̣́zà,king
ọma ẹ̀  gbán ọlo  ̣́zà,heir
ọma ọkùnrẹn,"boy, male child, son"
ọma o  ̣̀nà,"footpath, lane"
ọma titọn,baby
ọma,child
ọmàgèlè,adolescent (male)
ọmázá,pup
ọme  ̣́lá,"calf of cow, grasshopper"
ọméwé,student
ọmijin,twig
ọmobìnrẹn,"daughter, girl"
ọmoghíyà obìnrẹn,maidservant
ọmòghíyà,"peon, servant"
ọmológbò,kitten
ọmọma,grandchild
ọmománe  ̣́ba,bastard
ọmómàne  ̣́bámàne  ̣́ye,orphan. ọmoníle ̣̀ adj. aboriginal
o  ̣̀múdán,spinster
o  ̣̀múmá,pestle
o  ̣̀nà méèzìn,double
o  ̣̀nà tólo  ̣́,serpentine
o  ̣̀nà,"direction, path, road, way"
ọnòrírírè,by any means
ọnyàn,breast
ọnye  ̣́lá,udder
o  ̣́re  ̣́n,eighty
ọrere,termite
ọro  ̣̀n o  ̣́wo  ̣́,wrist
ọro  ̣̀n,neck
o  ̣́rọno  ̣́he  ̣̀,ankle
ọrú,one hundred
o  ̣̀rúmèrú,five hundred
ọtá,"intelligence, question"
ọta,sixty
ọtábà,"snuff, tobacco"
o  ̣̀túla,day after tomorrow
o  ̣́wo  ̣́,"arm, fore arm, hand, handle"
ọyiya,comb
o  ̣́yo  ̣́n,pus
ọzà,"business, market"
o  ̣́zùhá,fool
o  ̣̀zùo  ̣̀,stupid
rà,"buy, purchase"
rán úse  ̣́,message
rán,send
rẹ́,prune
re  ̣̀n,walk
re  ̣̀nháká,"roam, wander"
rẹnrẹn,tickle
re  ̣̀re  ̣̀,"coax, persuade, pet"
re  ̣̀re  ̣̀hí,"goad, instigate"
re  ̣́zo  ̣́kpa,convict
rho  ̣́n,chew
rìàn,"dissolve, melt"
rìè,smooth
ríghò,watch
rín,grin
rínnózú,love
rírègbékòró,sacrifice
ririrun,experience
rírò,bitter
ríro  ̣́,trickle
rírorò,"bile, meditation"
rìròrò,puzzle
rírú,consecration
rírùn tóni,pungent
rírún,feast
rírùn,odour
rírun,extinguish
rírúnsilè,announcement
rìwe  ̣̀,advance
rò,"consider, contemplate, ponder, plot, think"
ró,drip
ro  ̣̀,dense
ro  ̣́,fill
ro  ̣̀ho  ̣̀,"calm, easy"
ro  ̣́n ìrùnmù,graze
ro  ̣̀n,"ill, sick"
ro  ̣́n,"bite, gnaw"
ròwá,conceive
ru,"gore, pierce"
rú,open
rúbí,plot
rún,harvest
rùn,"smell, sniff, stink"
sà,select
sàme  ̣̀,spatter
sán,strike
sare  ̣̀n,continue
sarigbo,elderly
sé ríré,flourish
se  ̣́,"break, sew"
sé,"do, make"
séhé,err
séhí,"abide by, observe to"
sẹ̀  hùn,poor
sékéké,shrink
sékò,last rites
sékò,fulfil
sékpá,cheat
sèró,deceive
séwá,earn
síbí,spoon
síbo  ̣̀,remain
síkó,"mum, quiet, silent"
sísán,stroke
sísekpa,against
sisewa,excellent
sísewá,successful
síso  ̣́ghò,examine
sísózúmézìn,hypocrisy
so  ̣̀,dig
so  ̣́,spy
sódùá,appear
so  ̣́ghò rire,scrutinize
so  ̣́ghò,investigate
so  ̣́ghò,"inspect, observe"
so  ̣́háká,explore
sómíhè,moisten
subọ,drop
súgwá,begin
súkòró,fall
sùn,defecate
súsú ẹrun,kiss
shín,far
shin,"bury, hide"
shìn,escort
shín,sneeze
shinmi,relax
shíwín,"insane, mad"
sho,settle
tà,sell
ta,shoot
tá,sting
tàbí,or
táfíhá,eavesdrop
tahàn,narrate
tajè,real
tàkàtàkàtà,sparks
tálé,squirt
támáhe  ̣̀,raw
tàmáyase,impossible
tán,finish
tarawa,mutual
te  ̣̀,"knead, press"
tedé,forever
téfífó,
te  ̣̀gwùó,crush
te  ̣̀n,queue
tére  ̣̀,its
te  ̣́re  ̣́,your
te  ̣́re  ̣́n,"narrow, thin"
te  ̣́re  ̣́re  ̣́n,lean and thin
térí,former
tètè,
téwá,ours
tín,push
titọ,defeat
títo  ̣̀he  ̣̀,kick
títù,blister
títún,new
to  ̣́,jump
to  ̣̀,urinate
tódúwà,past
tọfo  ̣̀tà,actual
tòhúe  ̣́,hunt
tòke  ̣́zìn,latter
tolé,arrive
torírírè,"any, every"
tósúgwá,primary
tósúgwá,
tọtá,converse
tóyà,appropriate
tózùn,most
tù,curse
túnfo  ̣̀,repeat
túnse,"repair, restart, sort out"
túrenè,for that reason
túro,due to
túru,for
tutù,chill
tutun ara,comfort
tutùn,"cool, wet"
úbalo  ̣̀,burning sensation in the mouth
ube  ̣̀,spear
úbí,"crime, offence, sin"
úbúe  ̣́gwà,ugly
ùbúrù,brain
uchín,salutation
ùdè,advise
ùdíjin,trunk
ùdín,"butt, buttocks"
udu,liver
uga,molar teeth
ùgà,room
ugbá,gourd vessel
ugbakala,"ladder, scaffold"
ugbe  ̣́n,snail
ugbó búkú,burial ground
ugbo ózúzízà,headache
úgbó,"bush, forest"
úgbò,hole
ùgbòdín,anus
ugbógbó,"cudgel, staff"
ugbózú,eye socket
ùgbòzú,forehead
ùghe  ̣̀gbe  ̣̀,mirror
ùghègbózú,spectacles
ughẹghẹ,ceiling
ughó,vagina
ugho  ̣́,navel
ùghòghò rírò,bitter gourd
ùghòghò,gourd
ugo,eagle
úgún,vulture
ugwaran,one with six fingers on each hand
úgwázú,ahead
úgwázú,front
ùgwù,prestige
ùgwùmágàlà,chameleon
úhá,race
úharì,well
ùhe títẹmọ,liquor shop
úhìdàmìdàn,sudden flight
uhọn,squirrel
ùhùo  ̣̀,false
ùhùo  ̣̀,lie
ùkábùsé,"after, later"
ùkàhe  ̣̀,toe
ùkán,(n). different(ce)
ukeke,"pen, pencil"
ukẹku,squeak
ùke  ̣́lá,bellow
ùkò úgwázú,future
ùkò,"era, time"
uko  ̣́,phlegm
uko  ̣́,cough
ùkòkò,smoking pipe
ukòkúkò,frequent
uko  ̣́wo  ̣́,finger
úkpá,"lamp, lantern"
ukpan,ladle
ukpẹ́,"beak, filament"
ùkpe  ̣̀,tip
úkpètè,sugarcane
ùkpò,"angling rod, desk, table"
ukpokpo,disturbance
ùkpo  ̣̀ma kéké,"cot, cradle"
ùkpo  ̣̀nràn,coconut
ùkpo  ̣́nyà,teat
ukposù,moon beam
ukpòte  ̣́n,bed
ùkpù lílá,"jug, pitcher"
úkpù,"cup, goblet"
ukú,death
ùkúkan,"miscellaneous, various"
ukukú,owl
ùlà,brand
uladó,residential house
ulághẹrẹ,canopy
ulàkpákpa,spider web
uláso,handloom
úlé kéké,cottage
ulé,"house, lodge"
uléngá,jail
ule  ̣́ran,"goat shed, pen for animals"
uléshin,pigsty
ulẹ́  wé lílá,college
uléwé,school
úle  ̣́zo  ̣́,court
ulimaómàne  ̣́ye,orphanage
ulímewe,hostel
ulìràsọ dúndún,police station
úlìro  ̣̀kwà,brothel
ulíwin,"latrine, toilet"
ulọ́  bubu,cocoon
ulògùngùn,hospital
ulókuta,cave
ulosidẹ,granary
ulóyin,hive
ulo  ̣́zà,shop
ulùgwe  ̣́,bathroom
ulúhe  ̣̀n,temple
ulúrọ,clay house
ulúse  ̣́,workshop
ulùso  ̣́ná,box of matches
ùmàle  ̣́,god(ess)
úná,"fire, flame"
unegungun,hell
unwanran,ornament
únze  ̣́,diet
ùnze  ̣̀ran,fodder
ùnzòwúo  ̣̀,breakfast
uranwun,complaint
ùrèn,journey
úre  ̣́n,"metal, steel"
uri,creeper
úrí,"rope, twine"
úrò,ape
úrọ,clay
ùrókó,pumpkin
uro  ̣̀n àgó,rheumatism
uro  ̣̀n ákpo  ̣́fo  ̣́n,goiter
úro  ̣̀n funfun,leprosy
uro  ̣̀n ọhe  ̣̀ lílá,elephantiasis
uro  ̣̀n ózú,eye disease
uro  ̣̀n,"disease, illness"
ùróni,difficulty
urù,bottle
ùrù,tail
urun áfo  ̣̀,presentation
urun agwọ,doll
urun áwún,gift
úrún e  ̣́hán ho  ̣́he  ̣̀,anklet
urun ẹne  ̣́wá,income
urun e  ̣̀rù,magic
urun éwìnshì,perfume
urun íghàn,indication
urun ìke  ̣́tín,danger
urun míma,art
urun nínẹ́,property
urun ọbẹ̀,spice
urun ogun,weapon
úrún orírírè,anything
úrún o  ̣́ro  ̣̀n,locket
urun ọro  ̣̀n,necklace
urun owẹrẹ,necessity
úrún o  ̣́wo  ̣́,bracelet
urun táfúse,purpose
urun támárí,invisible
urun tánẹ́,possession
urun tázẹ́  wá,price
urun tógwélè,result
urun tósé,incident
urun tóshín,secret
urun úse  ̣́,tool
urun yíyo  ̣́,filter
úrún,"article, item, thing"
urùngbe  ̣̀,plant
úrúngédé,amount
uruntóghẹru,marvellous
ùrùre  ̣̀,"cricket, porcupine"
usà míma,earthen pot
ùsà,pot
usàhe  ̣̀,calf of leg
usájé,virtue
úse  ̣́,"character, habit, work"
use  ̣́,duty
úse  ̣́,labour
úshì,penalty
usí,lid
úsízo  ̣́,daily work
úsóbìnrẹn,feminine
uso  ̣̀no  ̣̀,disgust
úso  ̣́wo  ̣́,deed
usóya,justify
úwán,tongue
ùwè,whistle
úwọ,you
ùyàn,famine
uyàn,flavour
ùyára,"clever, fast"
ùyàzízẹ̀,punishment
ùyèrè,"ditch, drain, pit"
uzà,fight
úzó,music
úzó,dance
wá,come
wára,injure
wára,"harm, hurt"
wè,wide
wẹ́  n,loan
we  ̣́n,near
we  ̣́n,borrow
wèno  ̣̀,spread
we  ̣́nwún,lend
wín,loose
wìn,swallow
wìnshìn ríré,scent
wíwá,attendance
wíwẹ̀,"breadth, span"
wíwún ọnyà,breastfeeding
wíwún,offering
wó,heavy
wo  ̣́nwo  ̣́,"aid, benefit"
wo  ̣́nwo  ̣́,help
wowo,thick
wún,"donate, give, issue, offer"
wúnrun nára,nourish
wúnyàzẹ̀,punish
wúnze  ̣̀,feed
wúsòdúá,expectorate
yà,able
yà,"branch, enter, penetrate"
ya,"rip, split, tear"
yáhí,until
yàn,"choose, elect, select, suck"
yan,ride
yànyà,yawn
yára,"fit, rush"
yárí,visit
yátò,to
yé yé,grandmother
yé,mother
yẹdùwẹ,hen
ye  ̣̀ghún,avoid
yẹka,separate
ye  ̣́n,pinch
yerí,earring
yẹrunlé,she goat
yèwá,"remember, remind"
yéye,much
yí,"roll, turn"
yíháká,revolve
yíkpadà,"alter, change, exchange"
yíno  ̣́ sódùá,invert
yiya,comb
yíyẹ̀,shave
yíyèwá,remembrance
yiyinba,whirlpool
yíyo  ̣̀n,taste
yíyo  ̣́wo  ̣́kpadà,repent
yo  ̣̀,happy
yọ,"sieve, sift"
yo  ̣́,slide
yòkèyále  ̣̀,topsy-turvy
yo  ̣̀n,sweet
yo  ̣́n,"itch, scratch"
yo  ̣̀yì,insert
zàká,flail
zànzàn,scatter
zàrá,alike
záré,win
záyé,enjoy
ze  ̣́,eat
ze  ̣́n,deep
zighaigha,guess
zighowo,shed
zín,"awaken, rob, steal"
zìn,"shake, shiver"
zìnrire,vibrate
zínzín,awake
zíza,"ache, cramp, pain"
zizẹ,answer
zízín kpàkè,rouse
zízín órí,nod
zízò,leak
zízózú,jealous
zó,burn
zòká,sit
zúno  ̣́wo  ̣́,excess
zùyà,suffer. View publication stats
