Local Word,English Meaning
ke  ̣̀rẹn,fourth
kíkókpò,addition
kílòlò,stammer
kíyore,where
ko  ̣́ aya,divorce
kó,how
ko  ̣́,build
ko  ̣́,hang
ko  ̣́,learn
ko  ̣́,practice
ko  ̣́,teach
ko  ̣́,train
kọ,crow
ko  ̣̀,decline
ko  ̣̀,refuse
ko  ̣̀,reject
ko  ̣́hále  ̣̀,note
kóhùnrè,what
kókó,impotent
kòkò,together
kòkò,flock
kòkò,arrange
kòkò,culminate
kòkò,gather
kókòró,clear out
kókpò,add
kókpò,assemble
kókpò,unite
kómí,drown
ko  ̣́n,full
kóríkpò,discuss
kóríkpò,plan
kọrin,sing
kórodo,round
korókpàké,rise
kọrun,drowsy
kótú,manage
kóyàn,why
ku,die
ku,dead
kúìwù,bore
kúkòre,when
kpa,kill
kpa,slaughter
kpaigbàjé,batter
kpán,ripe
kpanẹ̀,murder
kpángolo,tin
kparane  ̣́,suicide
kpátákpátá,at all
kpè,beckon
kpè,call
kpe  ̣́kpe  ̣́yẹ,duck
kpelekpele lílá,tadpole
kpèlèkpelè,mosquito larvae
kpe  ̣́n háká,distribution
kpe  ̣́n,create
kpe  ̣́n,divide
kpe  ̣́n,share
kpèwá,summon
kpíkpán ekpo,yellow
kpíkpè,invitation
kpíkpe  ̣́n háká,distribute
kpíkpò,dirty
kpila,bet
kpítìrì,numb
kpò,stain
kpò,soil
kpòkú,homicide
kpòròkp̣̀orò,ant
kpòròkp̣̀orò,big red
kpúdẹ́  n,stout
kpúkpán,red
kpúrú,short
kwapó,extremely
kwo  ̣̀ro  ̣̀,collapse
kwo  ̣̀ro  ̣̀,faint
là,castrate
lá,lick
láíláí,never
lála,bulky
lála,huge
lára,operation
lé,transplant
lẹkẹlẹkẹ,crane
lékòró,expel
le  ̣̀má,attack
lílá,big
lílálá,weight
líle  ̣̀do  ̣̀,pulse
lílo  ̣̀,powder
lo  ̣́,crooked
lo  ̣̀,grind
lo  ̣̀,iron
lo  ̣́háká,wriggle
lọkọma,coil
lọkọma,entangle
lọkọma,entwine
lo  ̣́wọ́,clap
lo  ̣́wọ́,knock
lo  ̣́zú,squint
lù,beat
lù,ring
má ìfúrú,bloom
mà,know
mà,recognise
mádìase,prohibit
mádìse,prevent
mágbàzẹ̀,objection
mágbàze  ̣́n wún,disagree
mágbàze  ̣́n wún,disapprove
mághòzú,careless
máìsé,abate
máìsé,abolish
mákò,incomplete
mako,deficiency
mákù,immortal
mámà,ignorant
mámo  ̣̀fo  ̣̀,disobedient
mámózúhí,negligence
mánáno  ̣́,shameless
manawa,shortage
mánàyè,inconvenience
máne  ̣̀ súrù,impatient
máne  ̣̀ wíwo  ̣́nwo  ̣́,helpless
mànẹ́,want
mánìmí,lazy
mánómí ehò,juiceless
mánúse  ̣́,idle
márìròrò,impudent
máshinmi,restless
mátètèwá,late
mayarẹn,lame
me  ̣̀do  ̣̀,encourage
méèzín,both
me  ̣́fà,six
me  ̣́gwá,ten
me  ̣́gwáléo  ̣́gbọ́,thirty
me  ̣̀gwáléòrẹn,ninety
me  ̣́gwáléọta,seventy
me  ̣́gwàléozìn,fifty
me  ̣̀hán,nine
me   ̣́rẹn,four
me  ̣́rẹnlémègwá,fourteen
me  ̣́rú,five
me  ̣́ta,three
me  ̣́ze,seven
mézìn,two
me  ̣́zóléme  ̣̀gwá,eighteen
mímà,proof
mímí,breath
mímókò,cultivation
mímózúhí,treatment
mọ,drink
mógbò,smear
mọ́  wo  ̣́bàbà,pat
mo  ̣́wo  ̣́bàbàara,caress
mo  ̣́wo  ̣́hì,confirm
mózúhí,engross
mózúhí,foster
mózúhúsẹ́,oversee
mú,sharp
mú,catch
mú,take
mú,withdraw
mù,sink
múhí,put
múhínọ́,immerse
múhíwe  ̣̀,keep
múhìyo  ̣̀kàn,confine
múhómí ówún,pickle
mújè,compare with
múkàn,touch
múkòró,remove
múkòró,subtract
múkpàkè,prop
múlálá,blaze
múmá,also
múmá,furthermore
múmá,attach
múmá,fix
múmá,join
múmára,affectionate
mune  ̣́,arrest
múne  ̣́,hold
múne  ̣́,grasp
múne  ̣́,sustain
múní nbe  ̣́,bail
múno  ̣́dẹ,entrap
múno  ̣́dẹ,snare
múno  ̣́fo  ̣̀,insist
múnúse  ̣́,employ
múse,use
múwá,bring
múwá,establish
múwá,fetch
ná,bargain
ná,spend
náno  ̣̀,stretch
nára,oneself
náwẹ́,toward
nchíchá,cockroach
ǹdùkwú,potato
nduri,dove
ne  ̣́,own
nẹ́,have
ne  ̣̀do  ̣̀,brave
néníno  ̣́,lenient
ne  ̣́rí,before
ne  ̣̀rùmá,frighten
ne  ̣̀rùmá,startle
ne  ̣́wá,benefit
ne  ̣́yìn,behind
ni,difficult
ni,firm
ni,hard
ni,solid
ní,wear
nìmí,powerful
nina,expenditure
níne  ̣́,get
nkonkara,joint
nkonke  ̣́yín,shoulder blade
no  ̣̀,lost
nòde,outside
no  ̣́gbán,wise
no  ̣̀gho  ̣̀wún ara,self-respect
no  ̣̀kàn,only
no  ̣́là,rich
no  ̣́wún,thither
núgbò,hollow
nùkàn,lonely
nùkò,while
ó ne  ̣̀ne  ̣̀ kòkò,intact
óbe  ̣́,gaping
obì,kolanut
obìnrẹn á fe  ̣́dó,betrothed bride
obìnrẹn ó màmọkùnrẹn,virgin
obìnrẹn ulé,madam
obìnrẹn,female
obìnrẹn,woman
óbòkwe  ̣́yì,almost
obubu,caterpillar
òbúkọ,billy goat
odẹghòdò,courtyard
ododo ákíkó,cock's comb
ogbè,district
ogbè,village
óghó,horn
oghoghozu,cataract
ógho  ̣́lé,bent
ògìgè,fort
ògùn telurọn,vaccine
ògún,blacksmith
ógúngún àkpo  ̣́wo  ̣́,elbow bone
ógúngún e  ̣́yìn,backbone
ògùngùn ómí,syrup
ógúngún ọro  ̣̀n,neck bone
ògùngùn,black art
ògùngùn,charm
ògùngùn,medicine
ógúngún,bone
ogwe,stem
òhe  ̣̀n,priest
óhẹngwà,attractive
òhìn,left
óhúnhún,winged ant
óhúnnukàn,alone
òkè dúnbò,cloudy
okè ózú,eye lid
òkè,atmosphere
òkè,cloud
òkè,sky
òkè,top
òkè,above
òkẹ́  fà,sixth
òke  ̣́gwá,tenth
òke  ̣́hán,ninth
òkèòkè,superficial
òke  ̣̀run,palate
òkẹ́  ta,third
òkéze,seventh
òke  ̣́zìn,partner
òke  ̣́zìn,second
òke  ̣́zìnlégwá,twelfth
òkìrìòkiri,around
òkò,brick
òkò,bundle
òkò,packet
òkò,pebble
ókó,penis
okoetunle,garden
ókpò,grimy
òkpò,worm
òkpòíno  ̣́,intestinal parasite
òkpókò,bachelor
okpuufu,suffocate
okú,corpse
òkùlé,roof
okunkun ọhan,eclipse
òkùnkùn,darkness
òkúshíshi,funeral
òkúta jákánjákán,gravel
òkúta,rock
òkúta,stone
okutefilọrun,grinding stone
okutefilọrun,whetstone
ólàmèrúnà,amaze
olè,thief
olékùkù,pigeon
ologbo,cat
olùkù,friend
oluzuwanmuzuwan,glutton
ómí ehò,juice
ómí ọnyà,breast milk
ómí oyin,honey
ómí,pond
ómí,river
ómí,stream
ómí,water
ómífúrú,nectar
ómúná,kerosene
òmúre  ̣́n,another
òmúre  ̣́n,other
òmúre  ̣̀n,again
òní,today
óníní,complicate
ore,female
orẹfàn,cow
órí ọfo  ̣̀,meaning
órí,dandruff
órí,head
óríbuku,jinx
òrìè ẹsi,mare
orìè,grave
orin,tooth twig
òróghò,flood
oroka,ring
órókún,knee
oromẹ gwere,lime
òróró,groundnut oil
orú,hundred
oru,emaciate
órughù,impure
órúkọ,name
orúméze,seven hundred
orumùye  ̣́n,outsider
orumùye  ̣́n,stranger
orun kéké,doze
òrùn,sun
órún,sleep
orúrú,cotton
orúrú,wick
óse  ̣́ mímí,fresh
óse,happen
osẹhan,then
osẹhan,thus
òsóbùá,god
ósòkùnkùn,grey
osù,moon
òsúgwá,first
osugwa,beginning
osumẹsu,dragonfly
ota,was
òto  ̣́n,right
òtú,group
òtùtú,bug
òtùtú,insect
ótútùn,cold
ótútùn,shade
òwò,bright
òwú,thread
owúkpá,lamp wick
owùn kéké,whisper
ówún,salt
owun,with
ówún,it
owunnùkàn,solitary
òwúo  ̣̀ fìrìfìrì,dawn
òwúo  ̣̀,morning
óyà,correct
oye  ̣̀,chief
oye  ̣̀,minister
oyin,bee
óyó,fed up
óyún,pregnancy
óze  ̣́bo  ̣́,altar
óze  ̣́bo  ̣́,platform
ózin,forty
òzìnzìn,shadow
òzò lílá,storm
òzò,rain
ózú e  ̣́zá,fish species
ózú,eye
ózú,face
ózúbúná,hearth
ózúbúná,oven
ózúghà,interest
ozúlé,family
ozùmá,daylight
ózúmozúmá,daily
ózúyí,giddy
ózúzo  ̣̀he  ̣̀,sore foot
ózúzú,wound
ọbẹ̀,broth
ọbẹ̀,soup
o  ̣́bé,gravy
ọda,resin
ọdafe  ̣́,master
ọdẹ,trap
o  ̣̀dómí,puddle
o  ̣́do  ̣́n,age
o  ̣́do  ̣́n,year
ọfafa,jackal
ọfo  ̣̀ tomagbọ,gossip
ọfo  ̣̀ tóni,order
ọfo  ̣̀,fault
ọfo  ̣̀,trouble
ọfo  ̣̀,word
o  ̣̀fo  ̣́n,larynx
o  ̣̀fo  ̣́n,throat
ọfo  ̣̀tà,honest
ọfo  ̣̀tà,true
o  ̣̀fúfo  ̣̀sẹ,soap suds
o  ̣̀fùfù,froth
ọgá,mask
ọgbà,barn
ọgbà,cage
o  ̣́gbán,wisdom
o  ̣́gbo  ̣́,twenty
o  ̣́gbo  ̣́do  ̣́,mace
ọgbòdògbo  ̣̀,lap
ọgbòdògbo  ̣̀,thigh
o  ̣̀ge  ̣̀de  ̣̀ gwẹrẹ,banana
ọ̀  gho  ̣̀,glory
ọ̀  gho  ̣̀,respect
ọghọri,maggot
o  ̣́gwá,place
o  ̣́gwódé,compound
o  ̣́gwódé,veranda
ọhàn bíbó,orange
ọhán,afternoon
ọhán,midday
o  ̣̀hè,foot
o  ̣̀hè,leg
o  ̣̀hè,wheel
ọhẹn,devotee
ọhe  ̣̀ran,hoof
ọjà,flute
ọkà,corn
ọkà,maize
ọkàlè,car
o  ̣̀kan,one
ọkànkàn,each
o  ̣̀kànlégwá,eleven
ọko  ̣̀ ómí,boat
ọkọ titọn,groom
ọkọ,husband. o kpan ekpome 28
ọkpan ekpome,offering plate
o  ̣́kpán,dish
o  ̣́kpán,plate
o  ̣̀kpe  ̣̀,palm
ọkpukpẹzẹ,clot
ọkùnrẹn,man
o  ̣́kwá,office
o  ̣́kwá,title
o  ̣̀kwà,bitch
o  ̣̀kwà,prostitute
o  ̣̀la,tomorrow
o  ̣́lá,wealth
ọlo  ̣́kpà,police
ọlo  ̣́zà,king
ọma ẹ̀  gbán ọlo  ̣́zà,heir
ọma ọkùnrẹn,boy
ọma ọkùnrẹn,male child
ọma ọkùnrẹn,son
ọma o  ̣̀nà,footpath
ọma o  ̣̀nà,lane
ọma titọn,baby
ọma,child
ọmàgèlè,adolescent (male)
ọmázá,pup
ọme  ̣́lá,calf of cow
ọme  ̣́lá,grasshopper
ọméwé,student
ọmijin,twig
ọmobìnrẹn,daughter
ọmobìnrẹn,girl
ọmoghíyà obìnrẹn,maidservant
ọmòghíyà,peon
ọmòghíyà,servant
ọmológbò,kitten
ọmọma,grandchild
ọmománe  ̣́ba,bastard
o  ̣̀múdán,spinster
o  ̣̀múmá,pestle
o  ̣̀nà méèzìn,double
o  ̣̀nà tólo  ̣́,serpentine
o  ̣̀nà,direction
o  ̣̀nà,path
o  ̣̀nà,road
o  ̣̀nà,way
ọnòrírírè,by any means
ọnyàn,breast
ọnye  ̣́lá,udder
o  ̣́re  ̣́n,eighty
ọrere,termite
ọro  ̣̀n o  ̣́wo  ̣́,wrist
ọro  ̣̀n,neck
o  ̣́rọno  ̣́he  ̣̀,ankle
ọrú,one hundred
o  ̣̀rúmèrú,five hundred
ọtá,intelligence
ọtá,question
ọta,sixty
ọtábà,snuff
ọtábà,tobacco
o  ̣̀túla,day after tomorrow
o  ̣́wo  ̣́,arm
o  ̣́wo  ̣́,fore arm
o  ̣́wo  ̣́,hand
o  ̣́wo  ̣́,handle
ọyiya,comb
o  ̣́yo  ̣́n,pus
ọzà,business
ọzà,market
o  ̣́zùhá,fool
o  ̣̀zùo  ̣̀,stupid
rà,buy
rà,purchase
rán úse  ̣́,message
rán,send
rẹ́,prune
re  ̣̀n,walk
re  ̣̀nháká,roam
re  ̣̀nháká,wander
rẹnrẹn,tickle
re  ̣̀re  ̣̀,coax
re  ̣̀re  ̣̀,persuade
re  ̣̀re  ̣̀,pet
re  ̣̀re  ̣̀hí,goad
re  ̣̀re  ̣̀hí,instigate
re  ̣́zo  ̣́kpa,convict
rho  ̣́n,chew
rìàn,dissolve
rìàn,melt
rìè,smooth
ríghò,watch
rín,grin
rínnózú,love
rírègbékòró,sacrifice
ririrun,experience
rírò,bitter
ríro  ̣́,trickle
rírorò,bile
rírorò,meditation
rìròrò,puzzle
rírú,consecration
rírùn tóni,pungent
rírún,feast
rírùn,odour
rírun,extinguish
rírúnsilè,announcement
rìwe  ̣̀,advance
rò,consider
rò,contemplate
rò,ponder
rò,plot
rò,think
ró,drip
ro  ̣̀,dense
ro  ̣́,fill
ro  ̣̀ho  ̣̀,calm
ro  ̣̀ho  ̣̀,easy
ro  ̣́n ìrùnmù,graze
ro  ̣̀n,ill
ro  ̣̀n,sick
ro  ̣́n,bite
ro  ̣́n,gnaw
ròwá,conceive
ru,gore
ru,pierce
rú,open
rúbí,plot
rún,harvest
rùn,smell
rùn,sniff
rùn,stink
sà,select
sàme  ̣̀,spatter
sán,strike
sare  ̣̀n,continue
sarigbo,elderly
sé ríré,flourish
se  ̣́,break
se  ̣́,sew
sé,do
sé,make
séhé,err
séhí,abide by
séhí,observe to
sẹ̀  hùn,poor
sékéké,shrink
sékò,last rites
sékò,fulfil
sékpá,cheat
sèró,deceive
séwá,earn
síbí,spoon
síbo  ̣̀,remain
síkó,mum
síkó,quiet
síkó,silent
sísán,stroke
sísekpa,against
sisewa,excellent
sísewá,successful
síso  ̣́ghò,examine
sísózúmézìn,hypocrisy
so  ̣̀,dig
so  ̣́,spy
sódùá,appear
so  ̣́ghò rire,scrutinize
so  ̣́ghò,investigate
so  ̣́ghò,inspect
so  ̣́ghò,observe
so  ̣́háká,explore
sómíhè,moisten
subọ,drop
súgwá,begin
súkòró,fall
sùn,defecate
súsú ẹrun,kiss
shín,far
shin,bury
shin,hide
shìn,escort
shín,sneeze
shinmi,relax
shíwín,insane
shíwín,mad
sho,settle
tà,sell
ta,shoot
tá,sting
tàbí,or
táfíhá,eavesdrop
tahàn,narrate
tajè,real
tàkàtàkàtà,sparks
tálé,squirt
támáhe  ̣̀,raw
tàmáyase,impossible
tán,finish
tarawa,mutual
te  ̣̀,knead
te  ̣̀,press
tedé,forever
te  ̣̀gwùó,crush
te  ̣̀n,queue
tére  ̣̀,its
te  ̣́re  ̣́,your
te  ̣́re  ̣́n,narrow
te  ̣́re  ̣́n,thin
te  ̣́re  ̣́re  ̣́n,lean and thin
térí,former
téwá,ours
tín,push
titọ,defeat
títo  ̣̀he  ̣̀,kick
títù,blister
títún,new
to  ̣́,jump
to  ̣̀,urinate
tódúwà,past
tọfo  ̣̀tà,actual
tòhúe  ̣́,hunt
tòke  ̣́zìn,latter
tolé,arrive
torírírè,any
torírírè,every
tósúgwá,primary
tọtá,converse
tóyà,appropriate
tózùn,most
tù,curse
túnfo  ̣̀,repeat
túnse,repair
túnse,restart
túnse,sort out
túrenè,for that reason
túro,due to
túru,for
tutù,chill
tutun ara,comfort
tutùn,cool
tutùn,wet
úbalo  ̣̀,burning sensation in the mouth
ube  ̣̀,spear
úbí,crime
úbí,offence
úbí,sin
úbúe  ̣́gwà,ugly
ùbúrù,brain
uchín,salutation
ùdè,advise
ùdíjin,trunk
ùdín,butt
ùdín,buttocks
udu,liver
uga,molar teeth
ùgà,room
ugbá,gourd vessel
ugbakala,ladder
ugbakala,scaffold
ugbe  ̣́n,snail
ugbó búkú,burial ground
ugbo ózúzízà,headache
úgbó,bush
úgbó,forest
úgbò,hole
ùgbòdín,anus
ugbógbó,cudgel
ugbógbó,staff
ugbózú,eye socket
ùgbòzú,forehead
ùghe  ̣̀gbe  ̣̀,mirror
ùghègbózú,spectacles
ughẹghẹ,ceiling
ughó,vagina
ugho  ̣́,navel
ùghòghò rírò,bitter gourd
ùghòghò,gourd
ugo,eagle
úgún,vulture
ugwaran,one with six fingers on each hand
úgwázú,ahead
úgwázú,front
ùgwù,prestige
ùgwùmágàlà,chameleon
úhá,race
úharì,well
ùhe títẹmọ,liquor shop
úhìdàmìdàn,sudden flight
uhọn,squirrel
ùhùo  ̣̀,false
ùhùo  ̣̀,lie
ùkábùsé,after
ùkábùsé,later
ùkàhe  ̣̀,toe
ùkán,(n). different(ce)
ukeke,pen
ukeke,pencil
ukẹku,squeak
ùke  ̣́lá,bellow
ùkò úgwázú,future
ùkò,era
ùkò,time
uko  ̣́,phlegm
uko  ̣́,cough
ùkòkò,smoking pipe
ukòkúkò,frequent
uko  ̣́wo  ̣́,finger
úkpá,lamp
úkpá,lantern
ukpan,ladle
ukpẹ́,beak
ukpẹ́,filament
ùkpe  ̣̀,tip
úkpètè,sugarcane
ùkpò,angling rod
ùkpò,desk
ùkpò,table
ukpokpo,disturbance
ùkpo  ̣̀ma kéké,cot
ùkpo  ̣̀ma kéké,cradle
ùkpo  ̣̀nràn,coconut
ùkpo  ̣́nyà,teat
ukposù,moon beam
ukpòte  ̣́n,bed
ùkpù lílá,jug
ùkpù lílá,pitcher
úkpù,cup
úkpù,goblet
ukú,death
ùkúkan,miscellaneous
ùkúkan,various
ukukú,owl
ùlà,brand
uladó,residential house
ulághẹrẹ,canopy
ulàkpákpa,spider web
uláso,handloom
úlé kéké,cottage
ulé,house
ulé,lodge
uléngá,jail
ule  ̣́ran,goat shed
ule  ̣́ran,pen for animals
uléshin,pigsty
ulẹ́  wé lílá,college
uléwé,school
úle  ̣́zo  ̣́,court
ulimaómàne  ̣́ye,orphanage
ulímewe,hostel
ulìràsọ dúndún,police station
úlìro  ̣̀kwà,brothel
ulíwin,latrine
ulíwin,toilet
ulọ́  bubu,cocoon
ulògùngùn,hospital
ulókuta,cave
ulosidẹ,granary
ulóyin,hive
ulo  ̣́zà,shop
ulùgwe  ̣́,bathroom
ulúhe  ̣̀n,temple
ulúrọ,clay house
ulúse  ̣́,workshop
ulùso  ̣́ná,box of matches
ùmàle  ̣́,god(ess)
úná,fire
úná,flame
unegungun,hell
unwanran,ornament
únze  ̣́,diet
ùnze  ̣̀ran,fodder
ùnzòwúo  ̣̀,breakfast
uranwun,complaint
ùrèn,journey
úre  ̣́n,metal
úre  ̣́n,steel
uri,creeper
úrí,rope
úrí,twine
úrò,ape
úrọ,clay
ùrókó,pumpkin
uro  ̣̀n àgó,rheumatism
uro  ̣̀n ákpo  ̣́fo  ̣́n,goiter
úro  ̣̀n funfun,leprosy
uro  ̣̀n ọhe  ̣̀ lílá,elephantiasis
uro  ̣̀n ózú,eye disease
uro  ̣̀n,disease
uro  ̣̀n,illness
ùróni,difficulty
urù,bottle
ùrù,tail
urun áfo  ̣̀,presentation
urun agwọ,doll
urun áwún,gift
úrún e  ̣́hán ho  ̣́he  ̣̀,anklet
urun ẹne  ̣́wá,income
urun e  ̣̀rù,magic
urun éwìnshì,perfume
urun íghàn,indication
urun ìke  ̣́tín,danger
urun míma,art
urun nínẹ́,property
urun ọbẹ̀,spice
urun ogun,weapon
úrún orírírè,anything
úrún o  ̣́ro  ̣̀n,locket
urun ọro  ̣̀n,necklace
urun owẹrẹ,necessity
úrún o  ̣́wo  ̣́,bracelet
urun táfúse,purpose
urun támárí,invisible
urun tánẹ́,possession
urun tázẹ́  wá,price
urun tógwélè,result
urun tósé,incident
urun tóshín,secret
urun úse  ̣́,tool
urun yíyo  ̣́,filter
úrún,article
úrún,item
úrún,thing
urùngbe  ̣̀,plant
úrúngédé,amount
uruntóghẹru,marvellous
ùrùre  ̣̀,cricket
ùrùre  ̣̀,porcupine
usà míma,earthen pot
ùsà,pot
usàhe  ̣̀,calf of leg
usájé,virtue
úse  ̣́,character
úse  ̣́,habit
úse  ̣́,work
use  ̣́,duty
úse  ̣́,labour
úshì,penalty
usí,lid
úsízo  ̣́,daily work
úsóbìnrẹn,feminine
uso  ̣̀no  ̣̀,disgust
úso  ̣́wo  ̣́,deed
usóya,justify
úwán,tongue
ùwè,whistle
úwọ,you
ùyàn,famine
uyàn,flavour
ùyára,clever
ùyára,fast
ùyàzízẹ̀,punishment
ùyèrè,ditch
ùyèrè,drain
ùyèrè,pit
uzà,fight
úzó,music
úzó,dance
wá,come
wára,injure
wára,harm
wára,hurt
wè,wide
wẹ́  n,loan
we  ̣́n,near
we  ̣́n,borrow
wèno  ̣̀,spread
we  ̣́nwún,lend
wín,loose
wìn,swallow
wìnshìn ríré,scent
wíwá,attendance
wíwẹ̀,breadth
wíwẹ̀,span
wíwún ọnyà,breastfeeding
wíwún,offering
wó,heavy
wo  ̣́nwo  ̣́,aid
wo  ̣́nwo  ̣́,benefit
wo  ̣́nwo  ̣́,help
wowo,thick
wún,donate
wún,give
wún,issue
wún,offer
wúnrun nára,nourish
wúnyàzẹ̀,punish
wúnze  ̣̀,feed
wúsòdúá,expectorate
yà,able
yà,branch
yà,enter
yà,penetrate
ya,rip
ya,split
ya,tear
yáhí,until
yàn,choose
yàn,elect
yàn,select
yàn,suck
yan,ride
yànyà,yawn
yára,fit
yára,rush
yárí,visit
yátò,to
yé yé,grandmother
yé,mother
yẹdùwẹ,hen
ye  ̣̀ghún,avoid
yẹka,separate
ye  ̣́n,pinch
yerí,earring
yẹrunlé,she goat
yèwá,remember
yèwá,remind
yéye,much
yí,roll
yí,turn
yíháká,revolve
yíkpadà,alter
yíkpadà,change
yíkpadà,exchange
yíno  ̣́ sódùá,invert
yiya,comb
yíyẹ̀,shave
yíyèwá,remembrance
yiyinba,whirlpool
yíyo  ̣̀n,taste
yíyo  ̣́wo  ̣́kpadà,repent
yo  ̣̀,happy
yọ,sieve
yọ,sift
yo  ̣́,slide
yòkèyále  ̣̀,topsy-turvy
yo  ̣̀n,sweet
yo  ̣́n,itch
yo  ̣́n,scratch
yo  ̣̀yì,insert
zàká,flail
zànzàn,scatter
zàrá,alike
záré,win
záyé,enjoy
ze  ̣́,eat
ze  ̣́n,deep
zighaigha,guess
zighowo,shed
zín,awaken
zín,rob
zín,steal
zìn,shake
zìn,shiver
zìnrire,vibrate
zínzín,awake
zíza,ache
zíza,cramp
zíza,pain
zizẹ,answer
zízín kpàkè,rouse
zízín órí,nod
zízò,leak
zízózú,jealous
zó,burn
zòká,sit
zúno  ̣́wo  ̣́,excess
zùyà,suffer. view publication stats
